dataset;acck=1;acck=3;acck=5;acck=10;acck=15;acck=20;build_tree_sec;distance_calc_sec;total_secs
BasicMotions;0.8;0.725;0.725;0.625;0.55;0.275;5.173366000002716;43.07512200000929;48.256441831588745
BME;0.8066666666666666;0.7666666666666667;0.7066666666666667;0.56;0.4666666666666667;0.6;10.177416099992115;37.78951550001511;47.98705053329468
Chinatown;0.9358600583090378;0.9387755102040817;0.8688046647230321;0.9387755102040817;0.8454810495626822;0.27405247813411077;3.8130113999941386;49.17137569998158;53.01191520690918
